ˈræŋkl|ˈræŋkəl,rankle,v怨恨|激怒,vt.& vi. （使）痛苦不已，（使）怨恨不已；,the insult still rankled in his mind;easy to rankle;canker;恨到发炎起火
ˈrænsəm|ˈrænsəm,ransom,n赎金|赎身|v赎回,n. 付赎金救人，赎金； [神]赎罪；|vt. 赎回； [神]赎救；,pay ransom to the kidnappers
rænt|rænt,rant,v咆哮|口出狂言,vi. 咆哮； 粗野的下结论； 大声责骂；|vt. 大声说出；|n. 大话； 粗野的话； [英]狂欢；,rave rant at sb
rəˈpeɪʃəs|rəˈpeʃəs,rapacious,a强夺的;贪婪的,adj. 贪婪的； （尤指）贪财的； 抢劫的； 掠夺的,greedy avaricious avid misely voracious covetous ravenous
ˈræpɪdz|ˈræpɪdz,rapids,n急流;湍流,n. 急流，湍流； 险滩； 急滩； 滩,
ræˈpɔ:(r)|ræˈpɔr*** -ˈpor*** rə-,rapport,n和睦;意见一致,n. 友好关系； 融洽，和谐；,support;He had an excellent rapport with his patients.
ræ'prɒʃmɒ̃|ˌrɑprɔʃˈmənt,rapprochement,n和好;和睦,n. 友好，和睦； 〈外〉和解； 恢复邦交；,I hope for a rapprochement between our two countries.
ræpt|ræpt,rapt,a专心致志的;全神贯注的,adj. 全神贯注的，入迷的；,be rapt in sth
ˌreərɪ'fækʃn|ˌrɛrəˈfækʃən,rarefaction,n稀薄,n. 变稀薄，稀薄；,the rarefaction of air
ˈrɑ:spi|ˈræspi,raspy,a(声音)刺耳的|恼人的,adj. 刺耳的，焦躁的，易怒的；,raspy voice rasp 粗锉刀*** 擦菜板*** 刺耳声
ˌrætɪfɪ'keɪʃn|ˌrætɪfɪ'keɪʃn,ratification,n正式批准,n. 正式批准，认可； 承认；,an attempt to delay ratification of the treaty
ˌrætiˌɒsɪˈneɪʃn|ˌreɪʃioʊsɪˈneɪʃn,ratiocination,n推理|推论,n. <正>推论，推理；,ratiocinate v;strict logic ratiocination
ˈræʃn|ˈræʃən*** ˈreʃən,ration,n定量配给|v配给,n. 定量； 配给量； 口粮； 合理的量，正常量|vt. 限量供应，配给供应； 给与…一天口粮； 供给（兵士）伙食，限定（粮食等）；,food/clothes/meat etc ration ;He rationed himself to 4 cigarettes a day.
ˈræʃnəl|ˈræʃənəl,rational,a理性的|合理的,adj. 神智清楚的； 理性的； 理智的； 合理的|n. 合理的事物； [数]有理数； 懂道理的人，人类； 〈英〉合理的服装,Rational decisions
ˈrætl|ˈrætl,rattle,v使格格作响|使慌乱,vt.& vi. （使）发出格格的响声，（使）作嘎嘎声； 喋喋不休地说话；|vi. 迅速而嘎嘎作响地移动，堕下或走动；|vt. 使紧张，使恐惧； 给（桅索）扎梯绳；|n. 嘎嘎声； 发出嘎嘎声的儿童玩具； 呼噜声； 音响构造,rattle along/past/over the road
ˈrɔ:kəs|ˈrɔkəs,raucous,a(声音)沙哑的;粗糙的,adj. 粗声的，沙哑的； 刺耳的；,a raucous voice
ˈrævɪdʒ|ˈrævɪdʒ,ravage,v摧毁;使荒废,vt.& vi. 毁坏； 劫掠；|n. 破坏； 蹂躏；,be ravaged by
reɪv|rev,rave,n热切赞扬|v狂语,vi. 胡言乱语，说梦话； 愤怒地说； 咆哮； 狂喜|vt.& vi. 热烈谈论，奋笔疾书；|n. 围栏，围板； （人、风、浪的）狂闹，怒吼； 狂欢晚会； <俚>狂热入迷,rant rave at/against/about sb/sth;rant
ˈrævl|ˈrævəl,ravel,v纠缠;纠结|拆开;拆散,vt.& vi. 使纠缠，变得错综复杂；|vt. 磨损；,ravel out
ˈrævənəs|ˈrævənəs,ravenous,a饿极了的;贪婪的,adj. 极饿的； （指饥饿、渴求等）极度的； 强取豪夺；,a ravenous appetite
rəˈvi:n|rəˈvin,ravine,n深谷;峡谷,n. 沟壑，深谷； 〈诗〉劫掠；,gorge ;some vast ravine
ˈrævɪʃɪŋ|ˈrævɪʃɪŋ,ravishing,a令人陶醉的,adj. 极其美丽的；|v. 使欣喜若狂，使着迷，使心醉( ravish的现在分词 )；,a ravishing smile
reɪz|rez,raze,v彻底破坏,vt. 彻底摧毁，将…夷为平地；,raze sth to ground
ˈreɪzə(r)|ˈrezɚ,razor,n剃刀;刮胡刀,n. 剃刀，刮面刀；|vt. 剃； 用剃刀刮；,an electric razor
riˈæktənt|riˈæktənt,reactant,n反应物,n. 反应物；,chemical reactant
riˈækʃənri|riˈækʃəneri,reactionary,a保守的;反动的,adj. 反动的； 保守的； [化]反应的；|n. 反动派； 保守分子；,in a reactionary direction;jails of the reactionary
ˈredɪli|ˈrɛdəli*** ˈrɛdli,readily,adv不迟疑地|迅速地;轻易地,,readily available
ˈredi|ˈrɛdi,ready,a机敏的;迅速的,adj. 准备好的，现成的； 即时的，敏捷的； 情愿的； 即将的|vt. 做好…的准备；|adv. 预先； 已完成地；|n. 现款；,.
riˈeɪdʒənt|riˈedʒənt,reagent,n试剂(导致化学反应),n. 反应物，试剂；,agent;chemistry reagent
ˌri:əˈlaɪn|ˌriəˈlaɪn,realign,v重新组合(排列),v. 重新排列，再结盟；,They have tried to realign themselves with the communists.
relm|rɛlm,realm,n王国|领域;范围,n. 领域，范围； 王国； （学术的）部门，界； （动植物分布的）圈，带,in the realm of science
ri:m|rim,ream,n令(纸张的计数单位),n. 令（纸张的计数单位）； 大量；|vt. 榨汁； 扩展，扩大； 铰除；,reams of notes
ri:p|rip,reap,v收割;收获,vt.& vi. 收割； 获得； 得到（报偿）；,reap a field;reap the benefit/reward/profit (of something)
ˈri:pə(r)|ˈripɚ,reaper,n收割者,n. 收割者，收获者； 收割机；,.
ˈri:beɪt|ˈriˌbet,rebate,n折扣;回扣,n. 折扣； 回扣；|vt. 减少； 打折；,offer a rebate of 1.50 for early settlement
rɪˈbeljəs|rɪˈbɛljəs,rebellious,a反抗的;难控制的,adj. 反叛的； 造反的； 难控制的；,rebellious behavior
rɪˈbʌf|rɪˈbʌf,rebuff,v断然拒绝,n. 断然拒绝； 挫败；|vt. 断然拒绝； 阻碍；,a cruel rebuff refuse
rɪˈbju:k|rɪˈbjuk,rebuke,v指责;谴责,vt. 非难，指责； 制止，阻止； 使相形见绌； 惩戒|n. 非难，指责； 斥责，训斥；,rebuke somebody for doing something
ˈri:bəs|ˈribəs,rebus,n字谜;画谜,n. （以画代词语，尤其是名字的）画谜，组字画；,a sort of puzzle called rebus
rɪ'bʌtl|rɪˈbʌtl,rebuttal,n反驳;反证,n. 举反例，反驳，抗辩；,his firm rebuttal of the accusations
rɪˈkælsɪtrənt|rɪˈkælsɪtrənt,recalcitrant,a顽抗的,adj. 倔强对抗的，拒不服从的； 拗强；,a recalcitrant pupil
,L32,,,
rɪˈkɔ:l|rɪˈkɔl,recall,v回想;回忆起|收回|n唤回,vt. 叫回，召回； 使想起，回想； 取消； 调回工厂|n. 召回，唤回； 记忆力，回想； 罢免； 收回通告,recall his mother;recall drugs;
rɪˈkænt|rɪˈkænt,recant,v改变;放弃(以前的信仰),vt. 撤回（声明），放弃（信仰或主张）；,relinquish;recant his beliefs
ˌri:kæn'teɪʃn|ˌrikænˈteʃən,recantation,n改变宗教信仰,n. 改变论调，取消主张；,an apologetic recantation;
ˌri:kəˈpɪtʃuleɪt|ˌrikəˈpɪtʃəˌlet,recapitulate,v扼要重述,vt.&vi. 总结，扼要重述； 摘要；,recapitulate on/what capitulate
ˌri:ˈkɑ:st|ˌriˈkæst,recast,v重铸|更换演员,vt. 再铸； 重塑； 改正； 改作|n. 重铸（物）； 重新塑造（物）；,recast a chapter
rɪˈsi:d|rɪˈsid,recede,v后退;收回(诺言),vi. 后退； 减弱； （价值，品质等）跌落，低落，变坏； 收回意见，退出（某种活动）,recede from;footsteps receding into the distance
rɪˈsi:t|rɪˈsit,receipt,n收到;接到|发票;收据,n. 收据，发票； 收入；|vt. 开收据； [美国英语]给…开收据，承认收到；,on receipt of ;
rɪˈseptəkl|rɪˈsɛptəkəl,receptacle,n容器,n. 容器，放置物品的地方；,a receptacle for litter*** washing*** waste paper
rɪˈseptɪv|rɪˈsɛptɪv,receptive,a善于接受的|从善如流的,adj. 善于接受的； 能容纳的； 有接受力的； 感受的，感官的,be receptive to
rɪˈses|ˈriˌsɛs*** rɪˈsɛs,recess,n壁凹|休假,n. 休息； 隐蔽处； （山脉，海岸等的）凹处； 壁凹，壁龛|vt. 把某物放在凹处； 制造凹陷； （暂时）休会，休课，休庭；|vi. 休息，休会，休庭；,recess a portion of; during the recess
rɪˈseʃn|rɪˈsɛʃən,recession,n经济萧条时期|撤回;退回,n. 经济衰退，不景气； 后退，撤退； 凹处； 退场,into/out of recession
rɪˈsesɪv|rɪˈsɛsɪv,recessive,a隐性遗传的|后退的,adj. 有倒退倾向的，逆行的； （遗传特征）隐性的；,a recessive gene
ˈresəpi|ˈresəpi,recipe,n食谱,n. 食谱； 处方； 秘诀；,a recipe for a particular situation
rɪˈsɪpiənt|rɪˈsɪpiənt,recipient,n接受者;收受者,n. 接受者； 容器； 容纳者；|adj. 容易接受的； 感受性强的；,the recipient of the Nobel Peace Prize
rɪˈsɪprəkl|rɪˈsɪprəkəl,reciprocal,a相互的;互惠的,adj. 相互的； 互惠的； 倒数的；|n. 倒数； 互相关联的事物；,a reciprocal relationship
rɪˈsɪprəkeɪt|rɪˈsɪprəˌket,reciprocate,v回报;答谢,vt. 互换，互给； 回报；|vi. 往复运动； 互换； 回报； 互给,I reciprocate you good wishes
rɪˈsaɪtl|rɪˈsaɪtl,recital,n独奏|吟诵,n. 独唱会； 独奏会； 小型音乐会、舞蹈表演会等； 一系列事件等的详述,give a piano recital
rɪˈkleɪm|rɪˈklem,reclaim,v纠正|开垦(土地),vt. 开拓，开垦； 感化； 取回； 沙化|n. 改造，感化； 教化； 回收再利用； 收回，取回,reclaim tax*** rent*** lost property
rɪˈklu:s|ˈreklus,recluse,n隐士|a隐居的,n. 隐居者，遁世者，隐士；,a recluse ; secluded
rɪˈkɔɪl|rɪˈkɔɪl,recoil,v退却;退缩,vi. 反跳，跳回； 退却，后退； 报应；|n. （尤指枪炮的）反冲； 后退，退缩； 反跳，跳回； 反冲力,coil v盘绕 recoil at sth
ˌrekəˈlekʃn|ˌrɛkəˈlɛkʃən,recollection,n记忆力|记忆中的往事,n. 回忆，追忆； 往事； 回忆录； [宗]冥想,beyond [past] recollection
ˌri:kəm'baɪn|ˌrikəmˈbaɪn,recombine,v重组;再结合,vt. 再结合，重组；,.
ˈrekəmpens|ˈrɛkəmˌpɛns,recompense,v报酬;赔偿,vt. 赔偿； 补偿； 酬报； 酬谢|n. 报酬； 报应； 惩罚；,recompense her for the loss of her job
ˈrekənsaɪl|ˈrɛkənˌsaɪl,reconcile,v和解;调和,vt. 使和好，使和解； 调停，排解（争端等）； [宗]使（场所等）洁净； [船]使（木板）接缝平滑,reconcile with sb
ˈrekəndaɪt|ˈrɛkənˌdaɪt*** rɪˈkɑnˌdaɪt,recondite,a深奥的,adj. 深奥的； 晦涩的； 高深；,recondite theory;abstruse
rɪˈkɒnɪsns|rɪˈkɑnɪsns,reconnaissance,n侦察;预先探索,n. （对某地区的）侦察或观测（尤指为军事目的），（执行侦察任务的）巡逻队、飞行队等； 勘探； 选点； 勘查,make a reconnaissance of =recon naissance n.诞生***产生;reconnaissance and surveillance
ˌri:ˈkɒnstɪtju:t|ˌriˈkɑnstətut,reconstitute,v再组成|用水泡,vt. 再组成，再构成； 加水使（脱水食物）复原；,In 1832 the firm was reconstituted as Mills and Co.
rɪˈkɔ:s|ˈrikɔrs,recourse,n求助;依靠,n. 求援； 追索权； 依赖； 所依靠的物[人],manage without recourse course过程
rɪˈkru:t|rɪˈkrut,recruit,n新兵|新成员|v征募,n. 新兵； （机构中的）新成员； 新学生；|vt. 招聘，征募； 吸收某人为新成员； 动员…（提供帮助）； 雇用|vi. 征募新兵； 得到补充，得到补偿； 恢复健康；,recruit enough qualified staff. ;recruit somebody to do something
ˈrektæŋgl|ˈrɛkˌtæŋɡəl,rectangle,n长方形;矩形,n. [数]长方形，矩形；,square
ˈrektɪfaɪ|ˈrɛktəˌfaɪ,rectify,v改正;调正|提纯,vt. 改正，校正； [化]精馏； [电]整流；,rectify an error
ˈrektɪtju:d|ˈrektɪtud,rectitude,n诚实;正直,n. 操行端正； 笔直；,the rectitude of officials;integrity
rɪˈkʌmbənt|rɪˈkʌmbənt,recumbent,a侧卧的|休息的,adj. 躺着的； 斜靠的； 倚躺；,a recumbent figure
rɪˈku:pəreɪt|rɪˈkupəˌret***-ˈkju-,recuperate,v恢复(健康);复原,vi. 恢复，复原； 弥补；|vt. 使恢复； [化]同流换热；,recuperate from his operation
rɪˈdi:m|rɪˈdim,redeem,v赎罪,vt. 赎回，挽回； 履行； 偿还； 兑现,redeem sth from pawn shop deem v 相信认为
rɪˈdemptɪv|rɪˈdemptɪv,redemptive,a赎回的;救赎的;救世的,adj. 赎回的，挽回的，用于补偿的；,a redemptive act
ˌri:dəˈrekt|ˌridɪˈrɛkt***-daɪ-,redirect,v改寄(信件)|改变方向,vt. 使改寄，更改（信件等）姓名地址； 改变方向，改变线路； 重新寄送； 再查问（证人等）|adj. 再直接的；,redirect the children’s energy into something useful.
ˌri:dɪstrɪ'bju:ʃn|ˌridɪstrɪ'bjuʃn,redistribution,n重新分配,n. 重新分配；,distribution;Redistribution is not permitted
ˈredələnt|ˈrɛdlənt,redolent,a芬芳的;芳香的,adj. 有强烈气味的； 使人联想或回想起某事物的；,redolence n aromatic;aromatic
rɪˈdaʊtəbl|rɪˈdaʊtəbəl,redoubtable,a可敬畏的,adj. 可怕的，厉害的； 令人敬畏的；,a redoubtable fighter;awe-stricken
rɪˈdres|rɪˈdrɛs,redress,n改正;修正,n. 补偿，赔偿； 矫正，纠正； 缓解；|vt. 改正，矫正； 补偿； 革除； 重新调整,redress damage 赔偿损失; redress the imbalance
rɪˈdʌndənsi|rɪˈdʌndənsi,redundancy,n过剩|备份,n. 过多，过剩； 冗长； 裁员； （机器的）多余度,Two thousand workers now face redundancy.
rɪˈdʌndənt|rɪˈdʌndənt,redundant,a累赘的;多余的,adj. 多余的，累赘的； （因人员过剩）被解雇的，失业的； 重沓； 衍,without a redundant word
ri:d|rid,reed,n芦苇|簧片,n. 芦苇； 芦苇杆； [乐]舌簧；,Reeds grew in clumps;reed pipe
ri:k|rik,reek,v发臭味|冒烟,n. 恶臭； 水蒸汽； 雾； 烟|vi. 发出浓烈的臭气； 散发臭气； 冒烟；|vt. 散发； 用烟熏； 发出…的气息；,a reek of tobaco
ri:l|ril,reel,n卷轴;旋转|v卷…于轴上,n. 卷轴； 卷盘； 卷筒； 绕在卷轴上的线（或金属丝、胶卷等）|vt. 卷； 绕；|vi. 蹒跚，摇晃； 来回旋转； 眩晕；,The party is still reeling from its recent election defeat.
rɪˈfektri|rɪˈfɛktəri,refectory,n(学院)餐厅;食堂,n. （修道院、学院等的）食堂，餐厅；,cafeteria
ˌrefəˈri:|ˌrɛfəˈri,referee,n裁判员|仲裁者,n. 裁判员； 证明人； 公断人； （专业性强的文章的）审阅人|vi. 担任裁判；|vt. 审阅，鉴定（专业性强的文章）； 为…当裁判； 仲裁判定；,act as his referee.
rɪˈfaɪnəri|rɪˈfaɪnəri,refinery,n提炼厂;精炼厂,n. 精炼厂； 精炼设备； 提炼厂； 冶炼厂,oil/petroleum/sugar refinery
rɪˈflekt|rɪˈflɛkt,reflect,v反射|仔细考虑,vt.& vi. 反射（光、热、声或影像）； 考虑；|vt. 反射，反照； 表达； 显示； 折转|vi. 映出； 反射； 深思熟虑； 慎重表达,reflect information about
rɪ'frækʃn|rɪˈfrækʃən,refraction,n折射,n. 折射（程度）； 折射角；,seismic refraction
rɪˈfræktəri|rɪˈfræktəri,refractory,a倔强的|反应迟钝的,adj. 执拗的； 倔强的； 难治疗的； 耐熔的|n. 倔强的人； 耐火物质；,a refractory child;obstinate
rɪˈfreɪn|rɪˈfren,refrain,v抑制n歌曲的反复句;叠句,vt. 抑制，克制；|n. （诗歌的）叠句，副歌； 经常重复的评价（或抱怨）；|vi. 忍耐，节制；,refrain from swearing 发誓;constant refrain ;a famous refrain
rɪˈfreʃ|rɪˈfrɛʃ,refresh,v消除…的疲劳;使精神振作,vt. 使恢复，使振作； 使焕然一新，翻新； 给（电池）充电；|vi. 恢复精神； 补充给养；,refresh sb’s memory
ˌrefjuˈdʒi:|ˌrɛfjʊˈdʒi,refugee,n难民;流亡者,n. 避难者，难民；,refugee camps
rɪˈfʌldʒənt|rɪˈfʊldʒənt*** -ˈfʌl-,refulgent,a辉煌的;灿烂的,adj. <文>光辉的，辉煌的；,fulgent splendid;refulgent traditional culture;refulgent days
ˌri:ˈfɜ:bɪʃ|ˌriˈfɜrbɪʃ,refurbish,v刷新;擦亮,vt. 刷新； 使重新干净；,furbish vt.擦亮*** 恢复*** 磨光;refurbish the mosques
rɪˈfju:t|rɪˈfjut,refute,v驳斥,vt. 驳斥，驳倒； 否认真实性；,refute an opponent
rɪˈgeɪl|rɪˈɡel,regale,v款待|使…享受,vt. 取悦； 盛宴款待；|vi. 参加宴会； 享用；,regale sb with sth
reɪˈʒi:m|reˈʒim*** rɪ-,regime,n政权;政治制度,n. 政治制度，政权，政体； 管理，方法； [医]养生法； （病人等的）生活规则,the old regime versus the new
rɪˈgres|rɪ'ɡres,regress,v使倒退;复原;逆行,vi. 逆行，倒退； 退回，回归； 退化；|vt. 使…倒退；|n. 回归，退回； 退步，退化； [法]复归权；,transgress vt.违反*** 犯罪*** 侵犯vi.越界*** 违法The patient had regressed to a state of childish dependency.
rɪˈgresɪv|rɪˈɡrɛsɪv,regressive,a退步的;退化的,adj. 后退的； 逆行的； 退化的； 回归的,a regressive step.
ˈregjuleɪt|ˈrɛɡjəˌlet,regulate,v管制|调整,vt. 调节，调整； 校准； 控制，管理；,regulate the traffic
ˌri:əˈbɪlɪteɪt|ˌrihəˈbɪlɪˌtet,rehabilitate,v修复;恢复(职业等),vt. 使康复； 使复原，修复； 使恢复原状； 使恢复名誉,habilitate vt.提供周转资金*** 予以穿着vi.取得资格 rehabilitate the former defence secretary.
rɪˈhɜ:sl|rɪˈhɜrsl,rehearsal,n排演;演习,n. 排练，排演； 彩排，演习； 复述，详述；,a rehearsal for ‘Romeo and Juliet’ ;in rehearsal
rɪˈhɜ:s|rɪˈhɜrs,rehearse,v排练;预演|详述,vt.& vi. 排练，排演； 公开练习；|vt. 详述； 在排演中指挥； 经训练使熟练掌握； 复述，背诵,The band was rehearsing for their world tour.
reɪn|ren,reign,n统治时期|王朝|领域,vi. 当政，统治； 占主导地位；|vt. 想法、情感或氛围盛行，成为最显著的；|n. 君主的统治； 君主统治时期； 任期； 当政期,rein;Pharaohs reigned over Egypt for centuries.
ˌri:ɪmˈbɜ:s|ˌriɪmˈbɜrs,reimburse,v偿还,vt. 偿还，付还，归还；,imburse burse ;reimburse sb for a loss
reɪn|ren,rein,n缰绳|v控制,n. 驾驭（法）； 统治手段； 控制（权）； 缰绳|vt. 勒缰绳使（马）停步； 驾驭； 严格控制；|vi. 勒住马；,The government is reining in public expenditure.
ˌri:ɪnˈfɔ:s|ˌriɪnˈfɔrs,reinforce,v加强力量;增援,vt. 加固； 强化； 增援；|vi. 求援； 得到增援； 给予更多的支持；|n. 加强； 加固物； 加固材料；,reinforce sb's hope
ˌri:ɪnˈsteɪt|ˌriɪnˈstet,reinstate,v恢复(原职),vt. 使复原； 使恢复； 使恢复健康； 使复任,instate v vt.任命California reinstated the death penalty in 1977.
